1,2101 8th Ave,Oakland,CA,94606
2,1615 Macarthur Blvd,Oakland,CA,94602
3,394 12th St,Oakland,CA,94607
4,1500 23th Ave,Oakland,CA,94606
5,6193 Ridgemont Dr,Oakland,CA,94619
6,525 Embarcadero W, Oakland,CA,94607
7,5403 Foothill Blvd,Oakland,CA,94601
8,1200 78th Ave,Oakland,CA,94621
9,828 Franklin St,Oakland,CA,94607
10,5913 International Blvd,Oakland,CA,94621
11,3210 Harrison St,Oakland,CA,94611
12,1460 7th St,Oakland,CA,94607
13,1333 Peralta St,Oakland,CA,94607
14,3710 Telegraph Ave,Oakland,CA,94609
15,3293 Lakeshore Ave,Oakland,CA,94610
16,1647 8th St,Oakland,CA,94607
17,3849 Martin Luther King Jr Way,Oakland,CA,94609
18,3900 Grand Ave,Oakland,CA,94610
19,7305 Edgewater Dr #D,Oakland,CA,94621
20,350 E 18th St,Oakland,CA,94606
