"apn","pstreet_addr","pcity","pstate","pzip","plon","plat","pminx","pminy","pmaxx","pmaxy","planduse","pfull_address","parcel_dir"
"029345130","26362 LAWTON AVE","Loma Linda","CA",92354,-117.229239498,34.0449167153,-117.229323238,34.0448060271,-117.229155764,34.0450273813,"532","26362 LAWTON AVE,Loma Linda,CA,92354",6071
"23504800370000","9147 PERSHING AVE","Orangevale","CA",95662,-121.213901675,38.6708152346,-121.21401323,38.6706055214,-121.213792183,38.6710265909,NA,"9147 PERSHING AVE,Orangevale,CA,95662",6067
"232052005","1153 SIERRA VISTA WAY","Lafayette","CA",94549,-122.114609607,37.8982677233,-122.114886371,37.8978975253,-122.114412289,37.898760217,NA,"1153 SIERRA VISTA WAY,Lafayette,CA,94549",6013
"8589026023","5033 Baldwin Ave","Temple City","CA",91780,-118.049846129,34.0945402847,-118.04997662,34.0944167133,-118.049716371,34.0946635985,"0100","5033 Baldwin Ave,Temple City,CA,91780",6037
"200291193","460 9TH ST","Mc Farland","CA",93250,-119.237737665,35.6789471257,-119.23794007,35.6788773989,-119.237535267,35.6790168561,"0101","460 9TH ST,Mc Farland,CA,93250",6029
"107618146","7017 NEWTON PL","Alta Loma","CA",91701,-117.592751185,34.1268426075,-117.592902871,34.1267837389,-117.592610044,34.1269016316,"510","7017 NEWTON PL,Alta Loma,CA,91701",6071
"8468015024","1600 W Cameron Ave","West Covina","CA",91790,-117.943032896,34.0685424244,-117.943538578,34.0681056101,-117.942527964,34.0689799637,"1800","1600 W Cameron Ave,West Covina,CA,91790",6037
"2203112937","500 RANCHEROS DR","San Marcos","CA",92069,-117.153226611,33.1412541249,-117.155567866,33.1393828965,-117.150832985,33.1430624795,NA,"500 RANCHEROS DR,San Marcos,CA,92069",6073
"110-120-009-000","3110 ASPEN GROVE RD","Truckee","CA",96161,-120.118140589,39.277759796,-120.118190768,39.27773372,-120.11808974,39.2777866452,"04","3110 ASPEN GROVE RD,Truckee,CA,96161",6061
"3603020600","4385 TECUMSEH WAY","San Diego","CA",92117,-117.198436488,32.8286091272,-117.198600935,32.8284439859,-117.198269893,32.8287742377,NA,"4385 TECUMSEH WAY,San Diego,CA,92117",6073
"003 461 06","820 JACKSON ST","Winters","CA",95694,-121.987744285,38.5209870383,-121.987938424,38.5208934636,-121.987550977,38.5210803594,NA,"820 JACKSON ST,Winters,CA,95694",6113
"2646012014","10237 Laurel Canyon Blvd","Hansen Hills","CA",91331,-118.430159441,34.256463333,-118.430371091,34.2562968375,-118.429947778,34.2566298174,"0100","10237 Laurel Canyon Blvd,Hansen Hills,CA,91331",6037
"6422620700","952 BUENA VISTA WAY","Chula Vista","CA",91910,-117.002927973,32.6382673437,-117.003095919,32.6381504074,-117.002744793,32.6383860441,NA,"952 BUENA VISTA WAY,Chula Vista,CA,91910",6073
"002-441-016","617 SANNS LN","Healdsburg","CA",95448,-122.859871671,38.6232431762,-122.860143806,38.6230861271,-122.859673916,38.6233820359,NA,"617 SANNS LN,Healdsburg,CA,95448",6097
"5533004017","1205 Cole Ave","Los Angeles","CA",90038,-118.330036791,34.0927092785,-118.330070278,34.0926141335,-118.330003172,34.0928045492,"0100","1205 Cole Ave,Los Angeles,CA,90038",6037
"060320110","62082 CHOLLITA RD","Joshua Tree","CA",92252,-116.309065943,34.1377760947,-116.309191563,34.1375418852,-116.308940326,34.1380103071,"605","62082 CHOLLITA RD,Joshua Tree,CA,92252",6071
"51032422","4185 N FORESTIERE AVE","FRESNO","CA",93722,-119.882988562,36.7963091016,-119.883133671,36.796098208,-119.882783305,36.7964461831,"11","4185 N FORESTIERE AVE,FRESNO,CA,93722",6019
"8294014026","2242 Flower Creek Ln",NA,"CA",91745,-117.947192417,33.9870482342,-117.947415208,33.9869251422,-117.946957225,33.9871728606,"0100","2242 Flower Creek Ln,NA,CA,91745",6037
"3112005087","2558 W Avenue K6","Del Sur","CA",93536,-118.176715189,34.6692349314,-118.176834194,34.6690900582,-118.176596189,34.6693798182,"0100","2558 W Avenue K6,Del Sur,CA,93536",6037
"531 002203000","39612 BANYAN TREE RD","Fremont","CA",94538,-121.99031137,37.5314846169,-121.990486356,37.5313316565,-121.990136769,37.5316374842,"1100","39612 BANYAN TREE RD,Fremont,CA,94538",6001
"8508012027","110 E Cypress Ave","Monrovia","CA",91016,-118.000228752,34.1392297749,-118.000308353,34.1390390959,-118.000149726,34.1394194284,"0100","110 E Cypress Ave,Monrovia,CA,91016",6037
"41418014","1978 ASSUNTA WAY","San Jose","CA",95124,-121.92930373,37.2706966987,-121.929491277,37.2705460433,-121.929114126,37.2708640313,NA,"1978 ASSUNTA WAY,San Jose,CA,95124",6085
"5624029022","113 W Linden Ct","Burbank","CA",91502,-118.300341032,34.1688695598,-118.300457223,34.1687725531,-118.300224328,34.1689661259,"2700","113 W Linden Ct,Burbank,CA,91502",6037
"1156041000","22090 KNOLLS DR","Grass Valley","CA",95949,-121.043247507,39.055121423,-121.04424816,39.0539350642,-121.042244572,39.0563254432,NA,"22090 KNOLLS DR,Grass Valley,CA,95949",6057
"23504900100000","9241 PERSHING AVE","Orangevale","CA",95662,-121.209750676,38.6707497046,-121.209857898,38.6705308596,-121.209644527,38.6709607361,NA,"9241 PERSHING AVE,Orangevale,CA,95662",6067
"015-382-067-000","636 SPRINGFIELD CIR","Roseville","CA",95678,-121.301108188,38.7602306179,-121.301324194,38.7601762065,-121.300910521,38.7602871236,"01","636 SPRINGFIELD CIR,Roseville,CA,95678",6061
"3204037036","6552 Parker Dr",NA,"CA",93551,-118.246611506,34.636424279,-118.246979487,34.6362678195,-118.246366005,34.636679852,"0100","6552 Parker Dr,NA,CA,93551",6037
"6620015","444 29TH ST","San Francisco","CA",94131,-122.429972276,37.7437433139,-122.430029163,37.7435845509,-122.429915389,37.7439020756,NA,"444 29TH ST,San Francisco,CA,94131",6075
"022626169","14060 GLENDALE CT","Etiwanda","CA",91739,-117.49757039,34.1564493864,-117.497802269,34.1562497582,-117.497344463,34.1566728819,"510","14060 GLENDALE CT,Etiwanda,CA,91739",6071
"6301601900","1110 MADDEN AVE","San Diego","CA",92154,-117.071362386,32.576101227,-117.071522991,32.5760193447,-117.071200606,32.5761842112,NA,"1110 MADDEN AVE,San Diego,CA,92154",6073
"11634302","2541 SANDPIPER WAY","Cameron Park","CA",95682,-121.005729588,38.6916133639,-121.005960691,38.6914976106,-121.005499277,38.69173157,"11","2541 SANDPIPER WAY,Cameron Park,CA,95682",6017
"5362020200","343 PALM AVE","Coronado","CA",92118,-117.179150908,32.6971211661,-117.179288492,32.696927833,-117.17901389,32.6972755107,NA,"343 PALM AVE,Coronado,CA,92118",6073
"5034020040","3850 2nd Ave","Baldwin Hills","CA",90008,-118.318976214,34.0163782824,-118.319190884,34.0163231366,-118.318761544,34.0164334281,"0100","3850 2nd Ave,Baldwin Hills,CA,90008",6037
"2458001L","2639 38TH AVE","San Francisco","CA",94116,-122.496061327,37.7376471451,-122.496268405,37.7376038275,-122.495854256,37.7376904624,NA,"2639 38TH AVE,San Francisco,CA,94116",6075
"101233131","11226 BOLTON AVE","Ontario","CA",91762,-117.702254925,34.0499238172,-117.702436388,34.0498307829,-117.702073455,34.0500168536,"510","11226 BOLTON AVE,Ontario,CA,91762",6071
"1030622200","745 N VINE ST","Fallbrook","CA",92028,-117.249947604,33.3885127081,-117.250163142,33.3883606034,-117.24973116,33.388667727,NA,"745 N VINE ST,Fallbrook,CA,92028",6073
"692560063","40604 PINE GROVE ST",NA,NA,92203,-116.222822388,33.7540465225,-116.223060607,33.7539488622,-116.222567963,33.754146763,NA,"40604 PINE GROVE ST,NA,NA,92203",6065
"964250016","38350 QUIET RUN CT","Murrieta","CA",92563,-117.115750674,33.5641136457,-117.115905342,33.5640340712,-117.115590236,33.5641918916,NA,"38350 QUIET RUN CT,Murrieta,CA,92563",6065
"1722601900","29062 VISTA VALLEY DR","Vista","CA",92084,-117.189600542,33.2432625912,-117.189795453,33.2431487647,-117.189400708,33.2433727346,NA,"29062 VISTA VALLEY DR,Vista,CA,92084",6073
"055 186601100","2425 PIEDMONT AVE","Berkeley","CA",94704,-122.251333626,37.866809267,-122.251590283,37.8666453419,-122.251079363,37.8669726087,"7600","2425 PIEDMONT AVE,Berkeley,CA,94704",6001
"045073010000","1525 MEEK AVE","Napa","CA",94559,-122.272209203,38.308408196,-122.27243544,38.3083147641,-122.271983291,38.3085007516,"11","1525 MEEK AVE,Napa,CA,94559",6055
"5351131324","800 THE MARK LN","San Diego","CA",92101,-117.156931655,32.7109611201,-117.157261054,32.7105466912,-117.156602492,32.711375334,NA,"800 THE MARK LN,San Diego,CA,92101",6073
"110044134","7436 DOHENY CT","Fontana","CA",92336,-117.497441571,34.1188023999,-117.497643264,34.1186655823,-117.497226771,34.1189265778,"510","7436 DOHENY CT,Fontana,CA,92336",6071
"001565023000","3639 BECKWORTH DR","Napa","CA",94558,-122.310222226,38.325376335,-122.310368205,38.3252227509,-122.31007632,38.3255297563,"111","3639 BECKWORTH DR,Napa,CA,94558",6055
"025-333-001","1990 Laguna St","Santa Barbara","CA",93103,-119.709987977,34.4363573953,-119.710936487,34.4355481487,-119.709051089,34.4371958332,"7200","1990 Laguna St,Santa Barbara,CA,93103",6083
"7518017004","5432 Sara Dr",NA,"CA",90503,-118.372023828,33.8463206324,-118.372209045,33.8461252567,-118.371858141,33.8465109543,"0100","5432 Sara Dr,NA,CA,90503",6037
"2812024018","28604 Crown Ct","Green Valley","CA",91390,-118.496320959,34.4620767662,-118.496512227,34.4619703135,-118.496140627,34.462188538,"0101","28604 Crown Ct,Green Valley,CA,91390",6037
"357120039","792 EDWARD WERTH DR","Rodeo","CA",94572,-122.263819918,38.0253426182,-122.263983637,38.0252375549,-122.263651187,38.0254468025,NA,"792 EDWARD WERTH DR,Rodeo,CA,94572",6013
"188210043","40 CREST ESTATE DR","Alamo","CA",94507,-122.054593555,37.8771781354,-122.054917648,37.876837732,-122.054271735,37.8775133221,NA,"40 CREST ESTATE DR,Alamo,CA,94507",6013
"5678003007","1112 Scofield Dr","Glendale","CA",91205,-118.240632332,34.1305939651,-118.240832409,34.1304212663,-118.240508685,34.1307286311,"0200","1112 Scofield Dr,Glendale,CA,91205",6037
"486373031","15640 LAS POSAS DR","Moreno Valley","CA",92551,-117.211777202,33.8926250783,-117.211985877,33.8925086278,-117.211588729,33.892759527,NA,"15640 LAS POSAS DR,Moreno Valley,CA,92551",6065
"101609157","4421 PHILADELPHIA ST","Chino","CA",91710,-117.708412193,34.0332475021,-117.708494961,34.0332194896,-117.708329425,34.0332755147,"531","4421 PHILADELPHIA ST,Chino,CA,91710",6071
"2784001114","9000 Vanalden Ave","Northridge","CA",91324,-118.548435942,34.2344895027,-118.549195872,34.2336983682,-118.547605114,34.2353484644,"010C","9000 Vanalden Ave,Northridge,CA,91324",6037
"29934012","918 DAFFODIL WAY","San Jose","CA",95117,-121.970864044,37.3102394642,-121.971046837,37.3101600172,-121.970680755,37.3103181675,NA,"918 DAFFODIL WAY,San Jose,CA,95117",6085
"2812099034","28432 Santa Rosa Ln","Santa Clarita","CA",91350,-118.477754738,34.445846155,-118.478224981,34.4451634677,-118.477313744,34.4464441938,"012C","28432 Santa Rosa Ln,Santa Clarita,CA,91350",6037
"185-142-06","32 ROBINHOOD DR","San Rafael","CA",94901,-122.481852243,37.9868890008,-122.48200904,37.9867311894,-122.481692301,37.9870463757,"11","32 ROBINHOOD DR,San Rafael,CA,94901",6041
"2623029013","12929 Osborne St","Hansen Hills","CA",91331,-118.414966096,34.2506076797,-118.415175623,34.2504229528,-118.414756575,34.2507923999,"0100","12929 Osborne St,Hansen Hills,CA,91331",6037
"013309505","933 N ACACIA AVE","Rialto","CA",92376,-117.361386472,34.1169704865,-117.361562018,34.1168499921,-117.361210984,34.117090969,"510","933 N ACACIA AVE,Rialto,CA,92376",6071
"6134028007","2005 N Keene Ave",NA,"CA",90059,-118.257433855,33.9105410481,-118.25759908,33.9104716438,-118.257268629,33.9106104524,"0100","2005 N Keene Ave,NA,CA,90059",6037
"007111011000","2308 LAS FLORES DR","Napa","CA",94558,-122.326287784,38.3311998679,-122.326472168,38.3310405363,-122.326103157,38.331358779,"111","2308 LAS FLORES DR,Napa,CA,94558",6055
"2266305500","560 BUTTERWOOD AVE","San Marcos","CA",92069,-117.125235098,33.1437243329,-117.125416533,33.1435802079,-117.125076116,33.1438680862,NA,"560 BUTTERWOOD AVE,San Marcos,CA,92069",6073
"016440030","459 EFFIE CT","Brentwood","CA",94513,-121.688429217,37.9406725841,-121.688543828,37.9405205775,-121.688314607,37.9408245904,NA,"459 EFFIE CT,Brentwood,CA,94513",6013
"38654008","12385 DE SANKA AVE","Saratoga","CA",95070,-122.027045108,37.2881612405,-122.027371153,37.287914085,-122.026716411,37.288424162,NA,"12385 DE SANKA AVE,Saratoga,CA,95070",6085
"4128004039","9312 Glasgow Pl","Los Angeles","CA",90045,-118.371194692,33.9514403097,-118.371395917,33.9512827532,-118.37099609,33.9515997346,"0500","9312 Glasgow Pl,Los Angeles,CA,90045",6037
"053033023","3057 S Higuera St","San Luis Obispo","CA",93401,-120.666567859,35.2598983278,-120.666693446,35.2598166181,-120.666442914,35.2599788312,NA,"3057 S Higuera St,San Luis Obispo,CA,93401",6079
"5592005032","3715 Shannon Rd",NA,"CA",90027,-118.276445018,34.1196710221,-118.276821609,34.1194249995,-118.276099788,34.1198291818,"0100","3715 Shannon Rd,NA,CA,90027",6037
"2606009019","12135 Elnora Pl","Granada Hills","CA",91344,-118.509796534,34.2910905523,-118.510028366,34.2909403551,-118.509564663,34.2912407547,"0101","12135 Elnora Pl,Granada Hills,CA,91344",6037
"004581012000","583 WEBBER ST","Napa","CA",94559,-122.298906531,38.2823086699,-122.299110123,38.2821474012,-122.298750503,38.2825143593,"212","583 WEBBER ST,Napa,CA,94559",6055
"24513013","2232 EMERALD HILLS CIR","San Jose","CA",95131,-121.870380435,37.3899824393,-121.870547509,37.3898464551,-121.87021484,37.3901167294,NA,"2232 EMERALD HILLS CIR,San Jose,CA,95131",6085
"69207053","203 BENBOW AVE","San Jose","CA",95123,-121.810180493,37.2462243679,-121.810267812,37.2460815359,-121.8100903,37.2463689381,NA,"203 BENBOW AVE,San Jose,CA,95123",6085
"5377007007","2880 San Pasqual St","Pasadena","CA",91107,-118.090852052,34.1375356133,-118.090980681,34.1373186848,-118.09072301,34.1377535553,"0100","2880 San Pasqual St,Pasadena,CA,91107",6037
"2300940500","651 E VALLEY PKWY","Escondido","CA",92025,-117.074171309,33.1269543634,-117.074273595,33.1268524616,-117.07406381,33.1270630933,NA,"651 E VALLEY PKWY,Escondido,CA,92025",6073
"126-600-018","3932 S WEST ST","Visalia","CA",93277,-119.295818348,36.2948034262,-119.296009596,36.2947144966,-119.295627125,36.2948923591,NA,"3932 S WEST ST,Visalia,CA,93277",6107
"4258001048","2560 S Barrington Ave","Los Angeles","CA",90064,-118.442303121,34.0278312629,-118.442572496,34.0275986151,-118.442033743,34.0280639406,"0500","2560 S Barrington Ave,Los Angeles,CA,90064",6037
"3471313678","7405 CHARMANT DR","San Diego","CA",92122,-117.228144165,32.8645549529,-117.229243701,32.8636909461,-117.227092242,32.8654755579,NA,"7405 CHARMANT DR,San Diego,CA,92122",6073
"8517025026","701 E Palm Ave","Monrovia","CA",91016,-117.99056051,34.1498480095,-117.99064529,34.1496557861,-117.99047492,34.1500408319,"0200","701 E Palm Ave,Monrovia,CA,91016",6037
"5174009029","300 Echandia St","Los Angeles","CA",90033,-118.219609836,34.0500043688,-118.219791808,34.0498833498,-118.219428068,34.0501248472,"0400","300 Echandia St,Los Angeles,CA,90033",6037
"7738310637","8301 MISSION GORGE RD","Santee","CA",92071,-117.01729387,32.8342867667,-117.020430899,32.8325801163,-117.013334715,32.8357849456,NA,"8301 MISSION GORGE RD,Santee,CA,92071",6073
"4369039023","10851 Portofino Pl","Los Angeles","CA",90077,-118.458338909,34.096914321,-118.45865108,34.0967820583,-118.457988734,34.0971106797,"0100","10851 Portofino Pl,Los Angeles,CA,90077",6037
"3152023300","12880 PRAIRIE DOG AVE","San Diego","CA",92129,-117.137893464,32.9556844017,-117.138029769,32.9555316755,-117.137760089,32.9558375357,NA,"12880 PRAIRIE DOG AVE,San Diego,CA,92129",6073
"48132027","5553 E ATCHISON ST","FRESNO","CA",93727,-119.701813827,36.7205873442,-119.701917793,36.7204491951,-119.701709745,36.7207254939,"11","5553 E ATCHISON ST,FRESNO,CA,93727",6019
"7145028013","3439 California Ave","Long Beach","CA",90807,-118.180933138,33.8196137443,-118.181099921,33.8195467683,-118.180765116,33.8196819595,"0100","3439 California Ave,Long Beach,CA,90807",6037
"50339204","612 BEVERLY DR","Arcata","CA",95521,-124.065916996,40.8615923564,-124.06624025,40.8614671449,-124.065591331,40.8617180516,"CITY OF AR","612 BEVERLY DR,Arcata,CA,95521",6023
"8222008037","2329 Jurado Ave","Hacienda Heights","CA",91745,-117.979001773,33.9953438556,-117.979253046,33.995175663,-117.978767526,33.995506968,"0100","2329 Jurado Ave,Hacienda Heights,CA,91745",6037
"34012009","4006 NORTHWOOD DR","Murphys","CA",95247,-120.402808619,38.175987217,-120.403316591,38.1757480541,-120.40219738,38.1762552629,"1100","4006 NORTHWOOD DR,Murphys,CA,95247",6009
"110015629","7951 ETIWANDA AVE","Etiwanda","CA",91739,-117.522917976,34.1091687291,-117.523000721,34.1091409246,-117.522835232,34.1091965335,"530","7951 ETIWANDA AVE,Etiwanda,CA,91739",6071
"37303057","6400 EDGEMOOR WAY","San Jose","CA",95129,-122.016915387,37.3047981911,-122.017029722,37.304648748,-122.016799905,37.3049487943,NA,"6400 EDGEMOOR WAY,San Jose,CA,95129",6085
"6451602000","581 MARSH HARBOR DR","San Diego","CA",92154,-117.02756359,32.5844288394,-117.027721005,32.5843519346,-117.027408709,32.5845038273,NA,"581 MARSH HARBOR DR,San Diego,CA,92154",6073
"5791912600","621 LA PRESA AVE","Spring Valley","CA",91977,-116.992989975,32.7084301072,-116.993161889,32.7082897941,-116.992818877,32.7085681328,NA,"621 LA PRESA AVE,Spring Valley,CA,91977",6073
"033-050-04","1411 CASA BUENA DR","Corte Madera","CA",94925,-122.512342024,37.9159530698,-122.51241695,37.9159118562,-122.512266919,37.9159939754,"14","1411 CASA BUENA DR,Corte Madera,CA,94925",6041
"5381008002","6735 N Muscatel Ave","San Gabriel","CA",91775,-118.079949097,34.1209092303,-118.08008629,34.1207839457,-118.079790414,34.1210355863,"0100","6735 N Muscatel Ave,San Gabriel,CA,91775",6037
"2982130837","535 S HIGHWAY 101","Solana Beach","CA",92075,-117.270684642,32.9847288432,-117.271319754,32.9843431964,-117.270093386,32.9851787936,NA,"535 S HIGHWAY 101,Solana Beach,CA,92075",6073
"11905900810000","5001 OPAL CREEK CT","Elk Grove","CA",95758,-121.44636048,38.430742344,-121.446584418,38.4305821565,-121.446088558,38.4309223342,NA,"5001 OPAL CREEK CT,Elk Grove,CA,95758",6067
"012815149","1101 W RIALTO AVE","Rialto","CA",92376,-117.391946251,34.0987857237,-117.392507067,34.0982075112,-117.391385532,34.0993634101,"101","1101 W RIALTO AVE,Rialto,CA,92376",6071
"2826142066","25608 Via Ventana","Valencia","CA",91381,-118.583889203,34.4064389774,-118.584292197,34.4050646172,-118.582981063,34.4066053877,"010D","25608 Via Ventana,Valencia,CA,91381",6037
"3005008014","40051  13th St W","City Ranch","CA",93551,-118.154922407,34.6105368331,-118.155478354,34.6100712292,-118.154367031,34.6110037872,"0100","40051  13th St W,City Ranch,CA,93551",6037
"035 460 20","731 WAXWING PL","Davis","CA",95616,-121.757639344,38.5742910275,-121.757775551,38.5740970294,-121.757492279,38.5744441738,NA,"731 WAXWING PL,Davis,CA,95616",6113
"309340118","12650 HICKORY AVE","Spg Valley Lk","CA",92395,-117.318075977,34.4809359024,-117.318414386,34.4806530492,-117.317737567,34.4812187554,"510","12650 HICKORY AVE,Spg Valley Lk,CA,92395",6071
"7329047128","23313 Colony Park Dr","Carson","CA",90745,-118.264830234,33.8134559497,-118.265029544,33.8133458208,-118.264624468,33.8135665422,"010C","23313 Colony Park Dr,Carson,CA,90745",6037
