"GEOID10","id","name","street","city","state","zip","type","full_address","glon","glat","lon","lat","fips","CTIDFP00","totpop","under18","pct_under18"
"06001401000",17,"Gallager Market","3849 Martin Luther King Jr Way","Oakland","CA",94609,"m","3849 Martin Luther King Jr Way, Oakland, CA 94609",-122.2691521,37.8281185,-122.268896055,37.828055535,"060014010004018","06001401000",6193,820,13.2
"06001401100",14,"Vernon Market","3710 Telegraph Ave","Oakland","CA",94609,"m","3710 Telegraph Ave, Oakland, CA 94609",-122.2650564,37.8255986,-122.265324385,37.8257232560001,"060014011003009","06001401100",4138,264,6.4
"06001401800",13,"Sav-Mor Liquor","1333 Peralta St","Oakland","CA",94607,"p","1333 Peralta St, Oakland, CA 94607",-122.2942244,37.8113527,-122.294328517,37.8109490200001,"060014018001005","06001401800",1866,425,22.8
"06001401800",16,"Happy Time","1647 8th St","Oakland","CA",94607,"p","1647 8th St, Oakland, CA 94607",-122.298875,37.8071804,-122.298818746,37.8072919190001,"060014018002012","06001401800",1866,425,22.8
"06001402200",12,"Seventh Street Food & Liquor","1460 7th St","Oakland","CA",94607,"m","1460 7th St, Oakland, CA 94607",-122.2951819,37.8056587,-122.295257249,37.805456087,"060014022002015","06001402200",2406,501,20.8
"06001403000",3,"Souza's Liquors","394 12th St","Oakland","CA",94607,"p","394 12th St, Oakland, CA 94607",-122.2705233,37.8026203,-122.270542917,37.80238021,"060014030001005","06001403000",3167,308,9.7
"06001403000",9,"Park Liquors","828 Franklin St","Oakland","CA",94607,"p","828 Franklin St, Oakland, CA 94607",-122.2719881,37.8002274,-122.272205314,37.8001763230001,"060014030001017","06001403000",3167,308,9.7
"06001403502",11,"Vernon Market","3210 Harrison St","Oakland","CA",94611,"m","3210 Harrison St, Oakland, CA 94611",-122.2557954,37.8180398,-122.25600678,37.818050858,"060014035022001","06001403500",2081,118,5.7
"06001403800",15,"Buckingham Wine & Spirits","3293 Lakeshore Ave","Oakland","CA",94610,"p","3293 Lakeshore Ave, Oakland, CA 94610",-122.2443398,37.8110554,-122.244180914,37.8107465640001,"060014038003008","06001403800",3323,377,11.3
"06001403800",18,"Grand Piedmont Liquors","3900 Grand Ave","Oakland","CA",94610,"p","3900 Grand Ave, Oakland, CA 94610",-122.2444949,37.8185137,-122.244728744,37.8186177630001,"060014038004003","06001403800",3323,377,11.3
"06001404900",2,"Vision Liquor","1615 Macarthur Blvd","Oakland","CA",94602,"p","1615 Macarthur Blvd, Oakland, CA 94602",-122.223667,37.800329,-122.223598292,37.8005377910001,"060014049003026","06001404900",3995,830,20.8
"06001405301",20,"Carriage Trade Liquors"," 350 E 18th St","Oakland","CA",94606,"p"," 350 E 18th St, Oakland, CA 94606",-122.2510981,37.7994349,-122.251216784,37.7992969090001,"060014053012004","06001405300",2899,318,11
"06001405500",1,"Wah Fay Liquors","2101 8th Ave","Oakland","CA",94606,"p","2101 8th Ave, Oakland, CA 94606",-122.2448776,37.79836,-122.244758177,37.7982741370001,"060014055003004","06001405500",4104,683,16.6
"06001406201",4,"Tk Liquors","1500 23th Ave","Oakland","CA",94606,"p","1500 23th Ave, Oakland, CA 94606",-122.2349511,37.7842636,-122.235061143,37.7842299920001,"060014062014000","06001406201",4296,1111,25.9
"06001407500",7,"Fairfax Liquor","5403 Foothill Blvd","Oakland","CA",94601,"p","5403 Foothill Blvd, Oakland, CA 94601",-122.1983483,37.7724053,-122.198434586,37.7725488080001,"060014075003004","06001407500",4201,1321,31.4
"06001408100",5,"Quadriga Wines Inc","6193 Ridgemont Dr","Oakland","CA",94619,"p","6193 Ridgemont Dr, Oakland, CA 94619",-122.1671766,37.7843368,-122.167020084,37.78445829,"060014081002000","06001408100",6266,765,12.2
"06001408800",10,"Los Camellos","5913 International Blvd","Oakland","CA",94621,"p","5913 International Blvd, Oakland, CA 94621",-122.1994052,37.7648862,-122.199439298,37.764960681,"060014088004003","06001408800",6348,2090,32.9
"06001408900",8,"Saleen Market","1200 78th Ave","Oakland","CA",94621,"m","1200 78th Ave, Oakland, CA 94621",-122.1863008,37.7555499,-122.186416836,37.7556614330001,"060014089002026","06001408900",3105,901,29
"06001409000",19,"J J Buckley Fine Wines","7305 Edgewater Dr #D","Oakland","CA",94621,"p","7305 Edgewater Dr #D, Oakland, CA 94621",-122.2064413,37.744684,-122.20642817,37.745344269,"060014090002013","06001409000",3752,1080,28.8
"06001983200",6,"Bev Mo","525 Embarcadero W"," Oakland","CA",94607,"c","525 Embarcadero W,  Oakland, CA 94607",-122.2791286,37.7959002,-122.278601227,37.79605572,"060019832001030","06001403200",572,38,6.6
